Year,Mean,Median,P10,P90
0,83.86911793741112,83.86911793741109,83.86911793741109,83.86911793741109
1,89.73296906485886,87.96687647720643,3.249079483633324,171.70142387282527
2,95.135175347223,89.80811739486506,0.0,198.06228285299892
3,97.96567471551238,91.92196265028635,0.0,198.97238069121767
4,100.84714921715317,95.7660235051297,0.0,204.21091630209682
5,101.03866784857067,93.74990898441801,0.0,207.27429673094932
6,102.73752532913146,94.13829597746778,0.0,217.987552975739
7,101.92119976335451,91.01988079962996,0.0,218.6286175241504
8,104.04947624931546,95.8351651069864,0.0,212.95768931923374
9,102.92732067359306,98.03294564748784,0.0,212.7501460627788
10,104.7454589303216,96.79133229889341,0.0,208.75743177103567
11,101.36662476226726,92.96529889350087,0.0,206.19980548232357
12,102.4437834815155,96.51188500948336,0.0,211.56102237525315
13,103.87115306347,96.10712225081392,0.0,211.97238442645724
14,102.62672048453949,91.86291701266197,0.0,218.6277766654325
15,102.08738728317086,91.63185627387551,0.0,212.00196184617403
16,104.59504128052211,95.54070070055994,0.0,215.2211620906872
17,103.30323018819705,97.0609209503337,0.0,205.19229604708934
18,104.362108161781,95.65690695271999,0.0,215.41465442111283
19,102.82302683580922,96.65700042759397,0.0,217.00708447114573
20,105.43841506963811,94.70688331877008,0.0,212.43974502236745
